activation_types,bumps,c1_lb,c1_ub,c2,c3,crossover_freq,decay,distance_weight,edge_inheritance,edge_weights,extra_mutation_rate,fd_max,fd_mean,fd_median,fd_min,fd_sd,generations_per_epoch,gvector_absolute_fitness,gvector_fitness_delta,knob_constant,knob_type,mutation_type_ub,num_candidates,num_epochs,num_hill_climbers,num_organisms,ph_absolute_fitness,ph_fitness_delta,ridge_radius,sa_timesteps,seed,spreading_rate
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.902063,0.321561,0.142127,0.000000,0.341357,20,3.985548,0.467676,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,653455000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.778574,0.300570,0.243769,0.000000,0.288071,20,3.947215,1.434033,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,43826000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.895999,0.457963,0.569665,0.000000,0.298216,20,1.981981,0.547992,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,720975000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.851158,0.067037,0.000000,0.000000,0.188238,20,5.981427,1.129146,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,133958000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.875593,0.410521,0.500670,0.000000,0.323076,20,1.983973,0.372301,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,580114000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.729821,0.096486,0.000025,-0.043906,0.169777,20,8.290004,0.255504,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,35534000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.756910,0.361837,0.455647,0.000000,0.278539,20,0.000000,0.000000,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,287361000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.840289,0.396315,0.399596,-0.031750,0.308745,20,1.977098,0.448855,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,768781000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.855458,0.478328,0.516569,0.000000,0.255233,20,1.646995,0.209906,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,370796000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.836707,0.328354,0.302794,0.000000,0.309278,20,0.654781,0.068209,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,843040000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.810926,0.413995,0.514666,0.000000,0.292440,20,1.985810,0.336542,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,234081000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.866048,0.457427,0.525921,0.000000,0.279061,20,2.311174,0.509074,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,582669000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.869986,0.407592,0.472911,0.000000,0.300596,20,2.318857,0.516121,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,206749000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.808054,0.429045,0.466973,0.000000,0.256774,20,5.319871,0.000000,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,804676000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.805434,0.239203,0.150215,0.000000,0.275881,20,9.633715,0.000000,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,478574000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.900207,0.419725,0.470444,0.000000,0.279961,20,0.662312,0.471538,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,26050000,0.200000
